"loyalty_number","total_months","total_years","total_flights","distance","points_accumulated","points_redeemed","dollar_cost_points_redeemed","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month","churned"
"101581",24,2,36,49542,49542,1104,199,"Canada","Ontario","Toronto","P5S6R4","Male","Bachelor",87781,"Married","Star",4595.46,"Standard",2012,10,0,0,0
"101594",24,2,43,58229,58229,1319,237,"Canada","Ontario","Toronto","P2T6G3","Male","Doctor",239867,"Divorced","Star",5205.75,"Standard",2015,8,0,0,0
"101644",24,2,2,2974,2974,0,0,"Canada","Ontario","Toronto","P1L8X8","Female","Master",101038,"Married","Star",8382.63,"Standard",2018,11,0,0,0
"101663",24,2,41,60109,60109,961,173,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",94946,"Married","Aurora",5129.74,"Standard",2016,9,0,0,0
"101664",24,2,29,40987,40987,0,0,"Canada","Nova Scotia","Halifax","B3J9S2","Male","Bachelor",87654,"Married","Aurora",9002.41,"Standard",2013,7,0,0,0
"101709",24,2,38,59596,59596,456,82,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",66733,"Single","Aurora",8396.61,"Standard",2015,9,2018,8,1
"101768",24,2,1,1733,1733,0,0,"Canada","British Columbia","West Vancouver","V6V8Z3","Male","Bachelor",70267,"Single","Nova",13916.93,"Standard",2018,9,0,0,0
"101876",24,2,12,18264,18264,1187,214,"Canada","Quebec","Quebec City","G1B3L5","Male","College",73602,"Single","Aurora",4949.53,"Standard",2017,10,2018,6,1
"101895",24,2,27,47305,47305,0,0,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",81883,"Single","Nova",24543.2,"Standard",2013,2,0,0,0
"101902",24,2,77,131909,131909,1302,235,"Canada","Ontario","London","M5B3E4","Female","College",73328,"Married","Aurora",6265.34,"Standard",2017,1,0,0,0
"101945",24,2,39,63004,63004,1219,219,"Canada","Nova Scotia","Halifax","B3C2M8","Male","Bachelor",86098,"Married","Star",4202.66,"Standard",2013,11,0,0,0
"102168",24,2,25,40495,40495,0,0,"Canada","Ontario","Toronto","P5S6R4","Female","Bachelor",75265,"Divorced","Nova",7166.34,"Standard",2018,1,0,0,0
"102184",24,2,45,69058,69058,0,0,"Canada","Alberta","Peace River","T9O2W2","Male","Bachelor",76887,"Married","Star",4923.18,"Standard",2016,4,0,0,0
"102207",24,2,25,37889,37889,0,0,"Canada","Quebec","Montreal","H4G3T4","Male","Bachelor",86413,"Divorced","Nova",6960.92,"Standard",2012,5,0,0,0
"102299",24,2,48,59570,59570,0,0,"Canada","Manitoba","Winnipeg","R6Y4T5","Female","College",72907,"Single","Star",2089.34,"Standard",2015,7,0,0,0
"102308",24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2T2J6","Male","College",73455,"Single","Star",12866.89,"Standard",2018,11,0,0,0
"102311",24,2,51,83581,83581,1396,252,"Canada","Ontario","Toronto","M2Z4K1","Female","Bachelor",76485,"Single","Star",7507.46,"Standard",2016,10,0,0,0
"102376",11,1,73,79580,119370,556,100,"Canada","Ontario","Sudbury","M5V1G5","Male","College",73317,"Single","Aurora",12765.78,"2018 Promotion",2018,3,0,0,0
"102464",24,2,14,17067,17067,761,137,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",60563,"Married","Star",2725.68,"Standard",2016,7,0,0,0
"102615",24,2,2,4556,4556,0,0,"Canada","Saskatchewan","Regina","S1J3C5","Female","Doctor",51630,"Married","Aurora",7590.05,"Standard",2018,9,0,0,0
"102726",24,2,21,25020,25020,1426,256,"Canada","Saskatchewan","Regina","S6J3G0","Male","Bachelor",84147,"Married","Nova",8044.87,"Standard",2017,8,0,0,0
"102730",24,2,27,41890,41890,0,0,"Canada","New Brunswick","Moncton","E1A2A7","Male","High School or Below",80919,"Single","Star",2453.57,"Standard",2017,12,0,0,0
"102740",24,2,5,8927,8927,0,0,"Canada","Ontario","Toronto","P1W1K4","Female","Bachelor",100571,"Married","Star",16922.13,"Standard",2018,6,0,0,0
"102788",11,1,84,135657,203485.5,0,0,"Canada","Quebec","Montreal","H2T2J6","Male","Bachelor",31170,"Single","Nova",11124.21,"2018 Promotion",2018,3,0,0,0
"102851",24,2,39,53975,53975,1247,224,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",60216,"Single","Star",19435.63,"Standard",2014,8,0,0,0
"102877",24,2,45,75358,75358,908,163,"Canada","Ontario","Trenton","K8V4B2","Female","College",75720,"Married","Nova",2863.04,"Standard",2014,7,0,0,0
"102982",24,2,29,34835,34835,0,0,"Canada","British Columbia","Dawson Creek","U5I4F1","Male","Bachelor",84442,"Married","Aurora",5235.57,"Standard",2016,11,0,0,0
"103043",24,2,43,66356,66356,449,81,"Canada","Ontario","Thunder Bay","K8T5M5","Male","Bachelor",97920,"Married","Star",3351.21,"Standard",2018,12,0,0,0
"103151",24,2,31,52486,52486,912,164,"Canada","British Columbia","Vancouver","V1E4R6","Female","Bachelor",64962,"Married","Aurora",32613.69,"Standard",2013,5,0,0,0
"103217",24,2,36,56399,56399,0,0,"Canada","Quebec","Montreal","H2T2J6","Male","College",73455,"Single","Star",6439.33,"Standard",2013,10,0,0,0
"103304",24,2,37,62563,62563,947,170,"Canada","Alberta","Banff","T4V1D4","Male","Bachelor",67227,"Married","Star",2683.47,"Standard",2013,10,0,0,0
"103340",24,2,44,62122,62122,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Male","College",73544,"Single","Star",7577.07,"Standard",2017,3,0,0,0
"103352",24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",69742,"Married","Aurora",5555.49,"Standard",2014,11,2015,9,1
"103359",24,2,53,82249,82249,564,102,"Canada","British Columbia","Vancouver","V6E3D9","Female","College",73544,"Single","Star",4502.87,"Standard",2016,3,0,0,0
"103362",24,2,3,4485,4485,0,0,"Canada","Quebec","Tremblant","H5Y2S9","Male","College",73447,"Single","Star",4807,"Standard",2018,10,0,0,0
"103383",24,2,0,0,0,0,0,"Canada","Ontario","Kingston","M9K2P4","Male","Doctor",65018,"Married","Aurora",13466.92,"Standard",2015,6,2016,2,1
"103436",24,2,49,86455,86455,902,162,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",67445,"Single","Star",5015.01,"Standard",2013,5,0,0,0
"103490",24,2,45,74308,74308,0,0,"Canada","British Columbia","Dawson Creek","U5I4F1","Male","High School or Below",65543,"Single","Nova",17651.96,"Standard",2013,7,0,0,0
"103502",24,2,18,30244,30244,344,62,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",66226,"Married","Star",2580.85,"Standard",2017,5,0,0,0
"103536",24,2,59,80954,80954,539,97,"Canada","British Columbia","Vancouver","V6E3D9","Female","College",73544,"Married","Nova",9202.64,"Standard",2012,10,0,0,0
"103699",24,2,24,36719,36719,0,0,"Canada","Alberta","Peace River","T9O2W2","Male","Bachelor",86388,"Single","Nova",5595.39,"Standard",2018,1,0,0,0
"103731",24,2,33,53860,53860,489,88,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",90487,"Married","Nova",4015.34,"Standard",2016,1,0,0,0
"103758",24,2,18,27295,27295,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",103461,"Single","Star",14727.51,"Standard",2018,6,0,0,0
"103823",24,2,42,57809,57809,1014,183,"Canada","Ontario","Toronto","M1R4K3","Female","High School or Below",52820,"Married","Nova",4812.53,"Standard",2014,10,0,0,0
"103860",24,2,40,65428,65428,1794,322,"Canada","Ontario","Thunder Bay","K8T5M5","Male","Bachelor",75348,"Married","Nova",3358.53,"Standard",2014,5,0,0,0
"103862",24,2,37,69191,69191,2686,482,"Canada","Ontario","Kingston","M9K2P4","Female","Doctor",299560,"Married","Star",4878.83,"Standard",2013,7,0,0,0
"103916",24,2,36,54436,54436,892,160,"Canada","Alberta","Edmonton","T3G6Y6","Female","High School or Below",60894,"Married","Star",3803.92,"Standard",2014,3,0,0,0
"103969",24,2,33,46744,46744,1131,203,"Canada","Ontario","Ottawa","K1F2R2","Male","Bachelor",52405,"Married","Aurora",31410.93,"Standard",2015,4,0,0,0
"103970",24,2,45,56234,56234,0,0,"Canada","British Columbia","Dawson Creek","U5I4F1","Female","Doctor",221857,"Married","Aurora",8257.67,"Standard",2015,10,0,0,0
"103975",24,2,15,18061,18061,1102,198,"Canada","Ontario","Toronto","M2Z4K1","Male","Bachelor",71775,"Married","Star",2411.26,"Standard",2018,8,0,0,0
"103985",24,2,4,6269,6269,0,0,"Canada","Ontario","Toronto","M2Z4K1","Male","College",73008,"Single","Nova",2761.69,"Standard",2018,9,0,0,0
"104103",24,2,32,40470,40470,742,134,"Canada","British Columbia","Vancouver","V6E3D9","Male","College",73544,"Married","Nova",8262.88,"Standard",2016,5,0,0,0
"104267",11,1,38,61606,92409,0,0,"Canada","Ontario","Sudbury","M5V1G5","Male","Bachelor",28642,"Married","Star",2701.04,"2018 Promotion",2018,3,0,0,0
"104353",24,2,42,73980,73980,526,95,"Canada","Saskatchewan","Regina","S1J3C5","Male","Bachelor",104140,"Married","Star",15777.89,"Standard",2014,1,0,0,0
"104431",24,2,43,77644,77644,1771,320,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Doctor",243591,"Married","Nova",2822.59,"Standard",2014,11,0,0,0
"104541",24,2,34,40283,40283,1472,264,"Canada","Ontario","Toronto","M2Z4K1","Female","Bachelor",64827,"Married","Nova",8621,"Standard",2013,3,0,0,0
"104586",24,2,40,65640,65640,473,85,"Canada","Ontario","Ottawa","K1F2R2","Male","Bachelor",86609,"Divorced","Aurora",7772.58,"Standard",2016,12,0,0,0
"104673",24,2,48,64770,64770,546,98,"Canada","Ontario","Sudbury","M5V1G5","Male","Bachelor",60006,"Married","Aurora",14723.41,"Standard",2012,10,0,0,0
"104732",24,2,37,54081,54081,403,73,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",50930,"Married","Nova",8382.48,"Standard",2016,1,0,0,0
"104739",24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2T9K8","Female","High School or Below",65565,"Married","Nova",5498.94,"Standard",2013,11,2014,7,1
"104849",24,2,35,53641,53641,363,65,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",63326,"Married","Nova",2816.76,"Standard",2014,3,0,0,0
"104960",24,2,32,48555,48555,589,106,"Canada","Newfoundland","St. John's","A1C6H9","Male","Bachelor",90265,"Married","Star",2551.23,"Standard",2012,6,0,0,0
"105063",11,1,27,40695,61042.5,0,0,"Canada","Quebec","Montreal","H4G3T4","Male","Doctor",236405,"Divorced","Star",7251.33,"2018 Promotion",2018,3,0,0,0
"105073",11,1,52,43874,65811,0,0,"Canada","Ontario","Toronto","M2M6J7","Male","College",73008,"Single","Aurora",7562.82,"2018 Promotion",2018,3,0,0,0
"105074",24,2,46,66078,66078,1567,281,"Canada","Ontario","Toronto","M1R4K3","Male","Bachelor",79727,"Married","Nova",2799.75,"Standard",2014,10,0,0,0
"105145",24,2,0,0,0,0,0,"Canada","Ontario","Toronto","M8Y4K8","Male","College",73008,"Single","Star",4839.11,"Standard",2012,7,0,0,0
"105193",24,2,3,6621,6621,0,0,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",92396,"Married","Nova",8838.09,"Standard",2018,6,0,0,0
"105214",24,2,35,52473,52473,1847,333,"Canada","British Columbia","Whistler","V6T1Y8","Male","Bachelor",88863,"Divorced","Star",5897.99,"Standard",2013,8,0,0,0
"105251",24,2,10,20733,20733,0,0,"Canada","Ontario","Trenton","K8V4B2","Female","Bachelor",80885,"Married","Star",5074.25,"Standard",2014,10,2017,8,1
"105335",24,2,36,62882,62882,2193,394,"Canada","British Columbia","West Vancouver","V6V8Z3","Male","Bachelor",53065,"Single","Nova",11611.95,"Standard",2014,10,0,0,0
"105352",24,2,0,0,0,0,0,"Canada","British Columbia","Vancouver","V6E3D9","Female","College",73544,"Single","Star",3923.27,"Standard",2014,1,2014,6,1
"105552",24,2,30,58554,58554,819,148,"Canada","Prince Edward Island","Charlottetown","C1A6E8","Male","Bachelor",77935,"Married","Nova",8256.3,"Standard",2015,11,0,0,0
"105688",24,2,45,71537,71537,1004,181,"Canada","British Columbia","Vancouver","V1E4R6","Female","College",73544,"Married","Aurora",5507.06,"Standard",2014,6,0,0,0
"105700",24,2,0,0,0,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Female","College",73544,"Single","Nova",7944.97,"Standard",2013,8,2015,8,1
"105712",24,2,31,46412,46412,1168,210,"Canada","Ontario","Toronto","M2M7K8","Female","College",73008,"Married","Nova",8311.14,"Standard",2015,8,0,0,0
"105789",24,2,38,68173,68173,687,124,"Canada","Saskatchewan","Regina","S1J3C5","Female","College",74756,"Single","Nova",2943.05,"Standard",2012,6,0,0,0
"105835",11,1,35,41790,62685,0,0,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",41085,"Married","Star",4756.13,"2018 Promotion",2018,4,0,0,0
"105841",11,1,73,105928,158892,522,94,"Canada","British Columbia","Whistler","V6T1Y8","Male","Bachelor",55130,"Married","Star",17420.57,"2018 Promotion",2018,3,0,0,0
"105921",24,2,49,70250,70250,1753,315,"Canada","Quebec","Hull","J8Y3Z5","Female","Bachelor",77255,"Married","Star",5041.45,"Standard",2012,9,0,0,0
"105932",24,2,30,55256,55256,765,138,"Canada","Newfoundland","St. John's","A1C6H9","Male","Bachelor",62977,"Married","Star",3671.82,"Standard",2016,7,0,0,0
"105992",24,2,42,61310,61310,1647,296,"Canada","Ontario","Kingston","M9K2P4","Female","Bachelor",75700,"Married","Nova",5905.97,"Standard",2016,12,0,0,0
"106001",24,2,76,119565,119565,2698,485,"Canada","Quebec","Montreal","H2Y4R4","Female","High School or Below",39000,"Single","Star",4914.04,"Standard",2013,1,0,0,0
"106037",24,2,51,68781,68781,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Bachelor",94980,"Married","Nova",11281.52,"Standard",2013,3,0,0,0
"106038",24,2,32,44279,44279,1377,248,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",47889,"Married","Star",7380.09,"Standard",2016,9,0,0,0
"106046",11,1,48,98729,148093.5,943,169,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",16628,"Single","Star",2658.22,"2018 Promotion",2018,4,0,0,0
"106048",24,2,3,2103,2103,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Doctor",70755,"Divorced","Star",11315.2,"Standard",2018,11,0,0,0
"106218",24,2,38,53572,53572,1209,218,"Canada","Ontario","Toronto","P1W1K4","Male","Master",111106,"Married","Nova",16473.17,"Standard",2014,1,0,0,0
"106397",24,2,25,35660,35660,450,81,"Canada","British Columbia","Vancouver","V6E3D9","Male","College",73544,"Married","Aurora",7902.68,"Standard",2012,5,0,0,0
"106444",24,2,14,19680,19680,1590,286,"Canada","British Columbia","Vancouver","V5R1W3","Male","College",73544,"Divorced","Aurora",8447.8,"Standard",2017,12,0,0,0
"106477",24,2,23,29743,29743,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Bachelor",52935,"Divorced","Star",2487.26,"Standard",2014,2,0,0,0
"106509",24,2,10,13811,13811,0,0,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",54529,"Married","Nova",16727.77,"Standard",2017,4,2018,10,1
"106589",24,2,0,0,0,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Male","High School or Below",71630,"Married","Star",11638.9,"Standard",2013,8,2013,9,1
"106592",24,2,47,76347,76347,1003,181,"Canada","Alberta","Banff","T4V1D4","Male","Doctor",298661,"Married","Nova",11727.78,"Standard",2016,6,0,0,0
"106616",24,2,6,9406,9406,0,0,"Canada","Quebec","Montreal","H2T2J6","Male","Bachelor",53879,"Married","Star",2560.69,"Standard",2018,7,0,0,0
"106623",24,2,4,2092,2092,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Bachelor",77314,"Married","Nova",10827.87,"Standard",2018,9,0,0,0
"106637",24,2,32,48721,48721,1770,319,"Canada","Quebec","Quebec City","G1B3L5","Male","Bachelor",86121,"Married","Star",7455.36,"Standard",2014,4,0,0,0
"106689",24,2,23,34355,34355,1690,304,"Canada","Ontario","Toronto","P1W1K4","Female","Bachelor",61554,"Married","Nova",2795.41,"Standard",2017,6,0,0,0
"106754",24,2,31,33368,33368,1167,210,"Canada","Ontario","London","M5B3E4","Female","Bachelor",49158,"Married","Star",31864.86,"Standard",2012,7,0,0,0
"106757",24,2,35,53926,53926,0,0,"Canada","Alberta","Edmonton","T9G1W3","Male","College",71335,"Married","Aurora",21423.64,"Standard",2015,6,0,0,0
"106776",24,2,43,68400,68400,1109,200,"Canada","Nova Scotia","Halifax","B3J9S2","Male","Bachelor",50611,"Married","Star",19357.8,"Standard",2012,12,0,0,0
"106838",24,2,39,71555,71555,0,0,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",58674,"Married","Aurora",7524.74,"Standard",2016,10,0,0,0
"106839",24,2,45,64569,64569,662,119,"Canada","Ontario","London","M5B3E4","Male","Bachelor",63081,"Married","Nova",6511.47,"Standard",2014,7,0,0,0
"106936",24,2,45,71149,71149,948,171,"Canada","Ontario","Kingston","M9K2P4","Female","Bachelor",67299,"Married","Nova",57520.5,"Standard",2012,11,0,0,0
"106946",24,2,50,78216,78216,2449,441,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",55446,"Married","Star",7796,"Standard",2016,3,0,0,0
"106964",24,2,4,5889,5889,512,92,"Canada","New Brunswick","Moncton","E1A2A7","Female","College",75462,"Single","Star",5568.95,"Standard",2018,8,0,0,0
"106978",24,2,46,70762,70762,386,69,"Canada","Quebec","Montreal","H2Y4R4","Female","Bachelor",81959,"Divorced","Nova",3455.23,"Standard",2012,12,0,0,0
"106979",24,2,38,66576,66576,1530,276,"Canada","Quebec","Montreal","H4G3T4","Male","Bachelor",86727,"Single","Star",14083.97,"Standard",2012,6,0,0,0
"107037",24,2,31,37882,37882,669,120,"Canada","British Columbia","Dawson Creek","U5I4F1","Female","Bachelor",62780,"Married","Aurora",17732.46,"Standard",2017,5,0,0,0
"107067",24,2,35,46235,46235,1531,275,"Canada","Quebec","Montreal","H3T8L4","Female","Bachelor",100598,"Married","Star",5137.35,"Standard",2016,3,0,0,0
"107119",24,2,47,73636,73636,995,179,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",92398,"Single","Nova",17684.65,"Standard",2013,4,0,0,0
"107141",24,2,33,44019,44019,1950,350,"Canada","Manitoba","Winnipeg","R2C0M5","Male","College",72907,"Married","Star",7292.91,"Standard",2013,8,0,0,0
"107203",24,2,47,65065,65065,1110,200,"Canada","British Columbia","Vancouver","V5R1W3","Female","Master",94014,"Divorced","Star",3044.79,"Standard",2016,3,0,0,0
"107212",24,2,39,58002,58002,2586,465,"Canada","British Columbia","Vancouver","V6E3D9","Female","Doctor",240146,"Married","Star",6842.58,"Standard",2013,2,0,0,0
"107296",24,2,21,30104,30104,625,113,"Canada","Quebec","Montreal","H2Y4R4","Male","Bachelor",74457,"Married","Aurora",21892.94,"Standard",2017,7,0,0,0
"107385",24,2,22,27287,27287,1331,239,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",87890,"Divorced","Star",7155.47,"Standard",2017,11,0,0,0
"107420",24,2,18,24132,24132,680,122,"Canada","Ontario","Toronto","M2M7K8","Male","High School or Below",64290,"Married","Aurora",15771.39,"Standard",2017,12,2018,8,1
"107461",24,2,18,21476,21476,551,99,"Canada","British Columbia","Vancouver","V6E3D9","Male","College",73544,"Married","Star",2519.92,"Standard",2015,2,0,0,0
"107466",24,2,24,36441,36441,491,88,"Canada","New Brunswick","Moncton","E1A2A7","Female","Bachelor",66901,"Married","Nova",4285.58,"Standard",2017,1,0,0,0
"107487",24,2,18,33663,33663,379,68,"Canada","Quebec","Montreal","H2T2J6","Male","Master",105487,"Divorced","Nova",7805.31,"Standard",2017,4,0,0,0
"107519",11,1,61,95293,142939.5,501,90,"Canada","Quebec","Hull","J8Y3Z5","Female","Bachelor",71792,"Married","Aurora",5470.06,"2018 Promotion",2018,2,2018,10,1
"107571",24,2,31,38467,38467,1175,211,"Canada","British Columbia","Vancouver","V6E3Z3","Male","College",73544,"Single","Aurora",7486.09,"Standard",2017,3,0,0,0
"107649",24,2,45,74576,74576,1296,233,"Canada","Alberta","Calgary","T3E2V9","Male","Bachelor",94733,"Married","Aurora",5879.18,"Standard",2012,5,0,0,0
"107719",24,2,30,36129,36129,1573,282,"Canada","British Columbia","Kelowna","V092E9","Male","College",76527,"Single","Star",2345.08,"Standard",2012,7,0,0,0
"107730",24,2,37,64714,64714,1132,204,"Canada","Newfoundland","St. John's","A1C6H9","Female","Bachelor",52961,"Single","Aurora",26511.6,"Standard",2017,12,0,0,0
"107835",24,2,5,7565,7565,424,76,"Canada","Ontario","Toronto","P1J8T7","Female","Doctor",50363,"Single","Star",3495.89,"Standard",2018,9,0,0,0
"107902",24,2,32,53948,53948,528,95,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",103122,"Single","Nova",4369.5,"Standard",2015,4,0,0,0
"107993",24,2,32,45033,45033,0,0,"Canada","Ontario","Toronto","P5S6R4","Female","Bachelor",52414,"Married","Aurora",23740.12,"Standard",2016,6,0,0,0
"108264",24,2,68,103366,103366,2676,483,"Canada","Saskatchewan","Regina","S6J3G0","Female","Bachelor",60970,"Married","Star",2515.41,"Standard",2013,1,0,0,0
"108346",24,2,10,17116,17116,0,0,"Canada","Alberta","Banff","T4V1D4","Female","Bachelor",53738,"Single","Nova",4854.75,"Standard",2017,12,2018,8,1
"108367",24,2,14,19611,19611,0,0,"Canada","Ontario","Toronto","M8Y4K8","Female","Bachelor",54794,"Married","Star",3528.04,"Standard",2017,5,2018,1,1
"108381",24,2,40,50725,50725,1618,292,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",47966,"Married","Nova",3289.13,"Standard",2014,11,0,0,0
"108430",24,2,47,87628,87628,342,62,"Canada","Saskatchewan","Regina","S1J3C5","Male","Bachelor",49927,"Married","Aurora",30081.37,"Standard",2013,7,0,0,0
