"","loyalty_number","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month"
"32",201574,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",51375,"Married","Star",3893.31,"Standard",2015,4,2015,12
"33",403361,"Canada","British Columbia","Vancouver","V1E4R6","Male","Bachelor",70222,"Single","Star",3895.03,"Standard",2017,10,0,0
"34",543918,"Canada","Quebec","Montreal","H2T2J6","Male","High School or Below",40736,"Married","Star",3896.57,"Standard",2012,11,0,0
"35",806030,"Canada","Alberta","Calgary","T3E2V9","Female","Bachelor",75861,"Married","Star",3903.47,"Standard",2018,5,0,0
"36",119200,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",69835,"Divorced","Star",3903.8,"Standard",2017,5,0,0
"37",938981,"Canada","Alberta","Edmonton","T3G6Y6","Female","College",0,"Single","Aurora",5337.35,"2018 Promotion",2018,4,0,0
"38",238119,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",75980,"Married","Star",3906.67,"Standard",2013,5,0,0
"39",730388,"Canada","Ontario","Thunder Bay","K8T5M5","Male","College",0,"Single","Star",3907.03,"Standard",2012,5,0,0
"40",834891,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",54460,"Married","Star",3911.12,"Standard",2017,3,2017,4
"41",127400,"Canada","British Columbia","Whistler","V6T1Y8","Female","College",0,"Single","Star",3914.72,"Standard",2014,6,0,0
"42",324557,"Canada","Quebec","Montreal","H2Y2W2","Female","College",0,"Single","Star",3914.72,"Standard",2013,2,0,0
"43",742002,"Canada","Ontario","Toronto","P2T6G3","Female","College",0,"Single","Star",3915.8,"Standard",2016,5,0,0
"44",536567,"Canada","Alberta","Peace River","T9O2W2","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2016,5,0,0
"45",704835,"Canada","British Columbia","Whistler","V6T1Y8","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2016,9,0,0
"46",733338,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",80697,"Married","Star",3919.37,"Standard",2016,6,2017,2
"47",758635,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2018,6,0,0
"48",823048,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",80697,"Married","Star",3919.37,"Standard",2018,5,0,0
"49",612905,"Canada","Ontario","Toronto","P2T6G3","Female","College",0,"Married","Star",3920.51,"Standard",2015,2,0,0
"50",679908,"Canada","Quebec","Montreal","H4G3T4","Female","Bachelor",77601,"Married","Star",3921.02,"Standard",2015,8,0,0
"51",704150,"Canada","Manitoba","Winnipeg","R6Y4T5","Male","Bachelor",77601,"Married","Star",3921.02,"Standard",2014,10,0,0
"52",869743,"Canada","Ontario","Sudbury","M5V1G5","Female","Bachelor",73236,"Single","Star",3924.42,"Standard",2016,11,2017,7
"53",596179,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",50879,"Single","Star",3933.81,"Standard",2014,3,0,0
"54",370450,"Canada","Ontario","Thunder Bay","K8T5M5","Female","High School or Below",62160,"Married","Star",3934.1,"Standard",2012,11,0,0
"55",501030,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",93541,"Married","Star",3934.71,"Standard",2017,3,0,0
"56",878633,"Canada","Ontario","Trenton","K8V4B2","Female","Doctor",163974,"Married","Star",3936.79,"Standard",2013,12,0,0
"57",285938,"Canada","Quebec","Montreal","H2T2J6","Female","Bachelor",75827,"Married","Star",3939.01,"Standard",2014,9,0,0
"58",588237,"Canada","Quebec","Tremblant","H5Y2S9","Male","Bachelor",75827,"Married","Star",3939.01,"Standard",2013,11,0,0
"59",645280,"Canada","British Columbia","West Vancouver","V6V8Z3","Male","Bachelor",75827,"Married","Star",3939.01,"Standard",2012,12,0,0
"60",864324,"Canada","Quebec","Quebec City","G1B3L5","Female","Bachelor",75827,"Married","Star",3939.01,"Standard",2018,6,0,0
"61",124678,"Canada","Nova Scotia","Halifax","B3J9S2","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2013,6,0,0
"62",186015,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2015,9,0,0
"63",461108,"Canada","Quebec","Montreal","H2T9K8","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2018,10,0,0
"64",589580,"Canada","British Columbia","Whistler","V6T1Y8","Male","Doctor",152955,"Married","Star",3954.34,"Standard",2015,8,0,0
"65",623688,"Canada","Ontario","London","M5B3E4","Female","Doctor",152955,"Married","Star",3954.34,"Standard",2016,5,0,0
"66",386082,"Canada","Alberta","Edmonton","T9G1W3","Female","Bachelor",30486,"Divorced","Aurora",5391.97,"2018 Promotion",2018,3,2018,11
"67",256147,"Canada","Ontario","Toronto","M1R4K3","Female","College",0,"Married","Star",3958,"Standard",2012,9,0,0
"68",329382,"Canada","Quebec","Montreal","H2T9K8","Male","College",0,"Single","Star",3961.59,"Standard",2012,8,0,0
"69",140392,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",96814,"Married","Star",3963.39,"Standard",2013,7,0,0
"70",112522,"Canada","Alberta","Peace River","T9O2W2","Male","Bachelor",49846,"Married","Aurora",5636.74,"2018 Promotion",2018,2,0,0
"71",230908,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Doctor",217538,"Divorced","Star",3964.15,"Standard",2012,5,0,0
"72",972581,"Canada","British Columbia","Vancouver","V5R1W3","Male","High School or Below",48744,"Married","Star",3964.53,"Standard",2016,2,0,0
"73",357549,"Canada","British Columbia","Whistler","V6T1Y8","Female","Bachelor",76410,"Single","Star",3964.73,"Standard",2018,9,0,0
"74",330694,"Canada","Alberta","Edmonton","T3G6Y6","Female","Bachelor",105053,"Married","Aurora",6172.91,"2018 Promotion",2018,2,0,0
"75",910875,"Canada","Quebec","Hull","J8Y3Z5","Female","Bachelor",84914,"Married","Star",3966.13,"Standard",2012,11,0,0
"76",501704,"Canada","Quebec","Hull","J8Y3Z5","Male","College",0,"Divorced","Star",3974.86,"Standard",2013,5,0,0
"77",529098,"Canada","British Columbia","Vancouver","V6E3Z3","Female","College",0,"Divorced","Star",3974.86,"Standard",2017,10,0,0
"78",265297,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",60519,"Married","Star",3978.67,"Standard",2018,7,0,0
"79",567875,"Canada","Quebec","Quebec City","G1B3L5","Female","Bachelor",102457,"Married","Star",3979.72,"Standard",2017,5,0,0
"80",688524,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",103862,"Married","Star",3980.42,"Standard",2013,3,0,0
"81",269070,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Master",93153,"Married","Star",3985.32,"Standard",2013,1,0,0
"82",387705,"Canada","Quebec","Hull","J8Y3Z5","Female","Master",93153,"Married","Star",3985.32,"Standard",2013,4,0,0
"83",923293,"Canada","Saskatchewan","Regina","S6J3G0","Male","Bachelor",86793,"Divorced","Star",3985.55,"Standard",2016,6,0,0
"84",283314,"Canada","Ontario","Toronto","M2Z4K1","Female","Bachelor",72127,"Married","Star",3991.73,"Standard",2013,4,2015,2
"85",322102,"Canada","British Columbia","Vancouver","V5R1W3","Male","College",0,"Married","Star",3992.58,"Standard",2013,8,2014,4
"86",789157,"Canada","British Columbia","Vancouver","V6E3Z3","Female","College",0,"Single","Star",3995.36,"Standard",2018,9,0,0
"87",654748,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",65721,"Married","Star",3996.77,"Standard",2017,4,2017,12
"88",984713,"Canada","Ontario","Sudbury","M5V1G5","Female","College",0,"Single","Star",3997.48,"Standard",2018,8,0,0
"89",114835,"Canada","Ontario","Toronto","M1R4K3","Female","Master",101354,"Divorced","Star",4001.52,"Standard",2017,7,0,0
"90",328936,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",53118,"Married","Star",4005.72,"Standard",2015,3,0,0
"91",845864,"Canada","British Columbia","Vancouver","V5R1W3","Female","Doctor",115440,"Married","Star",4013.85,"Standard",2013,4,0,0
"92",645265,"Canada","Quebec","Quebec City","G1B3L5","Male","Bachelor",73313,"Married","Star",4013.95,"Standard",2013,3,0,0
"93",223587,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Bachelor",100167,"Married","Star",4013.96,"Standard",2017,8,0,0
"94",158560,"Canada","British Columbia","Vancouver","V6E3D9","Male","Bachelor",59262,"Married","Star",4014.45,"Standard",2015,12,0,0
"95",417584,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",59262,"Married","Star",4014.45,"Standard",2014,5,0,0
"96",566033,"Canada","Ontario","Toronto","M2P4F6","Male","College",0,"Married","Star",4015.21,"Standard",2015,6,2016,7
"97",472521,"Canada","Alberta","Edmonton","T9G1W3","Male","College",0,"Married","Aurora",6265.34,"2018 Promotion",2018,3,0,0
"98",425854,"Canada","Ontario","Toronto","P1J8T7","Female","High School or Below",39079,"Married","Star",4016.13,"Standard",2016,11,0,0
"99",174896,"Canada","Alberta","Edmonton","T3G6Y6","Female","College",0,"Single","Star",4016.54,"Standard",2015,4,2015,12
"100",695855,"Canada","Quebec","Montreal","H2T2J6","Female","College",0,"Divorced","Star",4019.38,"Standard",2013,4,0,0
"101",699511,"Canada","British Columbia","West Vancouver","V6V8Z3","Female","College",0,"Divorced","Star",4019.38,"Standard",2014,7,0,0
"102",377322,"Canada","Alberta","Edmonton","T9G1W3","Female","Bachelor",62518,"Married","Star",4023.81,"Standard",2016,5,0,0
"103",511053,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",62518,"Married","Star",4023.81,"Standard",2015,3,0,0
"104",890753,"Canada","Quebec","Montreal","H2Y2W2","Male","College",0,"Married","Star",4025.1,"Standard",2017,9,0,0
"105",796670,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",47536,"Married","Star",4035.68,"Standard",2014,2,0,0
"106",556136,"Canada","Quebec","Montreal","H4G3T4","Female","College",0,"Married","Star",4035.77,"Standard",2017,1,0,0
"107",513081,"Canada","Alberta","Edmonton","T9G1W3","Female","Bachelor",98320,"Married","Star",4037.5,"Standard",2015,11,0,0
"108",930718,"Canada","Quebec","Montreal","H2T2J6","Female","High School or Below",63577,"Married","Star",4037.55,"Standard",2015,7,0,0
"109",235872,"Canada","Ontario","Toronto","P1J8T7","Female","Doctor",89057,"Single","Star",4046.94,"Standard",2013,3,0,0
"110",881142,"Canada","British Columbia","Vancouver","V1E4R6","Female","Doctor",89057,"Single","Star",4046.94,"Standard",2016,9,2017,5
"111",295147,"Canada","British Columbia","Kelowna","V092E9","Male","Bachelor",99814,"Married","Star",4048.16,"Standard",2017,5,0,0
"112",306110,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",64587,"Married","Star",4053.37,"Standard",2013,5,0,0
"113",295217,"Canada","Ontario","Toronto","M1R4K3","Female","Doctor",67411,"Divorced","Star",4059.57,"Standard",2016,6,0,0
"114",967300,"Canada","Alberta","Edmonton","T9G1W3","Male","Bachelor",62630,"Single","Aurora",6364.9,"2018 Promotion",2018,3,2018,11
"115",591731,"Canada","Ontario","Toronto","P2T6G3","Male","Bachelor",51370,"Married","Star",4064.18,"Standard",2013,9,0,0
"116",326905,"Canada","British Columbia","Vancouver","V5R1W3","Female","College",0,"Married","Star",4068.09,"Standard",2017,2,0,0
"117",375511,"Canada","Quebec","Montreal","H2Y2W2","Female","Bachelor",59300,"Single","Star",4070.05,"Standard",2014,7,0,0
"118",485283,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",102479,"Single","Star",4072.85,"Standard",2017,9,0,0
"119",920716,"Canada","Alberta","Peace River","T9O2W2","Female","College",0,"Single","Aurora",7098.91,"2018 Promotion",2018,4,0,0
"120",797685,"Canada","Alberta","Edmonton","T3G6Y6","Male","College",0,"Married","Star",4079.13,"Standard",2017,6,0,0
"121",216467,"Canada","New Brunswick","Fredericton","E3B2H2","Male","Doctor",90995,"Married","Star",4083.56,"Standard",2014,7,0,0
"122",958839,"Canada","Quebec","Montreal","H4G3T4","Male","Doctor",90995,"Married","Star",4083.56,"Standard",2018,8,0,0
"123",539673,"Canada","Ontario","Toronto","P5S6R4","Female","Bachelor",49558,"Married","Star",4087.51,"Standard",2015,2,2018,6
"124",746226,"Canada","British Columbia","Whistler","V6T1Y8","Female","Bachelor",63501,"Married","Star",4089.04,"Standard",2018,1,0,0
"125",484718,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",76367,"Single","Star",4089.46,"Standard",2012,6,0,0
"126",528492,"Canada","Quebec","Hull","J8Y3Z5","Male","Bachelor",60360,"Married","Star",4090.75,"Standard",2015,6,2018,11
"127",995091,"Canada","British Columbia","Whistler","V6T1Y8","Female","Bachelor",55454,"Married","Star",4095.2,"Standard",2017,9,0,0
"128",632793,"Canada","Quebec","Hull","J8Y3Z5","Female","High School or Below",60370,"Single","Star",4097.37,"Standard",2016,6,0,0
"129",912220,"Canada","British Columbia","Vancouver","V6E3Z3","Male","High School or Below",60370,"Single","Star",4097.37,"Standard",2013,8,2014,4
"130",382197,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",69367,"Married","Star",4100.47,"Standard",2017,10,2018,6
"131",705196,"Canada","British Columbia","Whistler","V6T1Y8","Female","College",0,"Single","Star",4101.94,"Standard",2013,11,0,0
"132",123094,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Bachelor",92223,"Married","Star",4103.85,"Standard",2018,1,0,0
"133",366540,"Canada","Alberta","Calgary","T3E2V9","Female","Bachelor",90077,"Married","Aurora",7288.88,"2018 Promotion",2018,3,0,0
"134",119488,"Canada","Quebec","Tremblant","H5Y2S9","Female","College",0,"Single","Star",4108.26,"Standard",2017,6,0,0
"135",287750,"Canada","Ontario","Ottawa","K1F2R2","Female","College",0,"Single","Star",4109.31,"Standard",2012,8,0,0
"136",735846,"Canada","Ontario","Trenton","K8V4B2","Male","Bachelor",95318,"Married","Star",4109.79,"Standard",2012,8,0,0
"137",606026,"Canada","British Columbia","Vancouver","V6E3Z3","Male","Bachelor",55207,"Single","Star",4110.62,"Standard",2015,7,0,0
"138",460291,"Canada","British Columbia","West Vancouver","V6V8Z3","Female","Bachelor",55476,"Divorced","Star",4111.2,"Standard",2015,9,0,0
"139",743001,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",79533,"Married","Star",4111.89,"Standard",2017,5,0,0
"140",869799,"Canada","Ontario","Toronto","P1W1K4","Female","Bachelor",79533,"Married","Star",4111.89,"Standard",2015,3,0,0
"141",520321,"Canada","Ontario","London","M5B3E4","Female","Doctor",237245,"Married","Star",4112.84,"Standard",2015,9,2016,5
"142",279419,"Canada","British Columbia","West Vancouver","V6V8Z3","Female","College",0,"Single","Star",4117.37,"Standard",2013,7,0,0
"143",170585,"Canada","Ontario","Thunder Bay","K8T5M5","Male","Bachelor",82675,"Single","Star",4118.59,"Standard",2013,8,0,0
"144",188340,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",82675,"Single","Star",4118.59,"Standard",2017,4,0,0
"145",670817,"Canada","Ontario","Ottawa","K1F2R2","Male","Bachelor",82675,"Single","Star",4118.59,"Standard",2016,12,0,0
"146",509513,"Canada","British Columbia","Vancouver","V5R1W3","Male","College",0,"Single","Star",4121.25,"Standard",2012,12,0,0
"147",779247,"Canada","Manitoba","Winnipeg","R2C0M5","Male","Bachelor",86987,"Married","Star",4122.57,"Standard",2012,9,0,0
"148",111255,"Canada","Quebec","Hull","J8Y3Z5","Male","High School or Below",70272,"Married","Star",4122.96,"Standard",2013,3,0,0
"149",763061,"Canada","Ontario","Toronto","P2T6G3","Male","Bachelor",56845,"Married","Star",4126.61,"Standard",2014,4,0,0
"150",766335,"Canada","Alberta","Edmonton","T9G1W3","Male","Bachelor",67756,"Married","Aurora",7482.49,"2018 Promotion",2018,2,0,0
"151",428919,"Canada","Quebec","Montreal","H2T9K8","Female","Bachelor",58209,"Divorced","Star",4139.9,"Standard",2015,7,0,0
"152",139863,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",67223,"Married","Star",4142.56,"Standard",2015,10,0,0
"153",695755,"Canada","British Columbia","West Vancouver","V6V8Z3","Female","Bachelor",79088,"Married","Star",4144.87,"Standard",2012,4,0,0
"154",355331,"Canada","Ontario","Thunder Bay","K8T5M5","Male","College",0,"Divorced","Star",4145.02,"Standard",2013,7,0,0
"155",578837,"Canada","Ontario","Toronto","P5S6R4","Male","College",0,"Single","Star",4152.65,"Standard",2012,5,0,0
"156",603248,"Canada","British Columbia","Vancouver","V6E3D9","Male","College",0,"Married","Star",4157.7,"Standard",2016,2,2016,10
"157",467182,"Canada","Alberta","Edmonton","T9G1W3","Female","Bachelor",102347,"Married","Star",4160.02,"Standard",2013,12,2018,10
"158",601407,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",72809,"Married","Star",4165.17,"Standard",2015,9,0,0
"159",700871,"Canada","Newfoundland","St. John's","A1C6H9","Female","Bachelor",74567,"Married","Star",4165.25,"Standard",2015,12,0,0
"160",203809,"Canada","Alberta","Edmonton","T3G6Y6","Female","High School or Below",54160,"Married","Star",4165.35,"Standard",2012,7,0,0
"161",705589,"Canada","Ontario","Toronto","P1L8X8","Female","College",0,"Single","Star",4165.99,"Standard",2012,5,0,0
"162",354438,"Canada","Quebec","Montreal","H2T2J6","Male","College",0,"Married","Star",4167.09,"Standard",2018,9,0,0
"163",746060,"Canada","British Columbia","Victoria","V106T5","Male","College",0,"Married","Star",4167.09,"Standard",2014,4,0,0
"164",469718,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",73544,"Married","Star",4167.42,"Standard",2013,1,0,0
"165",164429,"Canada","British Columbia","Dawson Creek","U5I4F1","Female","Bachelor",57852,"Single","Star",4169.36,"Standard",2012,9,0,0
"166",708373,"Canada","Ontario","Toronto","M2P4F6","Female","Bachelor",57852,"Single","Star",4169.36,"Standard",2017,3,0,0
"167",225088,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",97991,"Married","Star",4170.34,"Standard",2015,9,0,0
"168",100214,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",63253,"Married","Star",4170.57,"Standard",2015,8,0,0
"169",459999,"Canada","Quebec","Tremblant","H5Y2S9","Male","Bachelor",53465,"Single","Star",4170.69,"Standard",2017,9,0,0
"170",553936,"Canada","Ontario","Toronto","P1J8T7","Female","Bachelor",53465,"Single","Star",4170.69,"Standard",2014,12,2015,8
"171",268128,"Canada","Ontario","Toronto","P1W1K4","Female","High School or Below",47663,"Married","Star",4177.88,"Standard",2013,1,0,0
"172",930584,"Canada","British Columbia","Vancouver","V5R1W3","Male","College",0,"Single","Star",4185.76,"Standard",2015,7,0,0
"173",327796,"Canada","Quebec","Quebec City","G1B3L5","Male","College",0,"Single","Star",4191.06,"Standard",2017,6,0,0
"174",947467,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",49937,"Married","Star",4196.43,"Standard",2015,2,0,0
"175",743510,"Canada","British Columbia","Vancouver","V6E3D9","Male","College",0,"Single","Star",4196.65,"Standard",2016,5,0,0
"176",580324,"Canada","British Columbia","Vancouver","V6E3D9","Male","Bachelor",61113,"Married","Star",4198.03,"Standard",2013,6,0,0
"177",845613,"Canada","Quebec","Montreal","H2Y4R4","Male","Bachelor",54297,"Married","Star",4198.03,"Standard",2018,10,0,0
"178",645919,"Canada","Alberta","Edmonton","T3G6Y6","Female","Bachelor",66297,"Divorced","Aurora",7484.31,"2018 Promotion",2018,3,0,0
"179",423324,"Canada","Quebec","Montreal","H2Y2W2","Male","Bachelor",69599,"Divorced","Star",4200.37,"Standard",2017,12,0,0
"180",101945,"Canada","Nova Scotia","Halifax","B3C2M8","Male","Bachelor",86098,"Married","Star",4202.66,"Standard",2013,11,0,0
"181",713636,"Canada","Ontario","London","M5B3E4","Male","Doctor",48109,"Married","Star",4212.8,"Standard",2014,8,0,0
"182",302509,"Canada","British Columbia","Dawson Creek","U5I4F1","Male","Doctor",74238,"Married","Star",4213.92,"Standard",2017,3,0,0
"183",789421,"Canada","British Columbia","Vancouver","V1E4R6","Female","College",0,"Single","Star",4217.86,"Standard",2016,11,0,0
"184",914255,"Canada","Ontario","Toronto","M8Y4K8","Male","College",0,"Single","Star",4217.86,"Standard",2015,11,2016,7
"185",675879,"Canada","Alberta","Edmonton","T3G6Y6","Male","Bachelor",78617,"Married","Aurora",8000.55,"2018 Promotion",2018,2,0,0
"186",404426,"Canada","British Columbia","Vancouver","V6E3D9","Female","Doctor",99696,"Married","Star",4223.27,"Standard",2014,9,0,0
"187",260106,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",88876,"Single","Star",4228.25,"Standard",2013,6,2017,4
"188",827194,"Canada","Alberta","Edmonton","T3G6Y6","Female","Bachelor",71450,"Married","Aurora",8255.76,"2018 Promotion",2018,3,0,0
"189",438023,"Canada","British Columbia","West Vancouver","V6V8Z3","Male","College",0,"Married","Star",4228.73,"Standard",2013,1,0,0
"190",397518,"Canada","Saskatchewan","Regina","S6J3G0","Male","Bachelor",76056,"Married","Star",4235.18,"Standard",2018,1,2018,9
"191",645742,"Canada","Ontario","Kingston","M9K2P4","Male","Bachelor",76056,"Married","Star",4235.18,"Standard",2014,8,2015,8
"192",872932,"Canada","Quebec","Montreal","H2Y2W2","Male","High School or Below",72685,"Married","Star",4236.3,"Standard",2015,3,0,0
"193",407945,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",75108,"Married","Star",4236.47,"Standard",2012,12,0,0
"194",211714,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Doctor",103572,"Married","Star",4236.84,"Standard",2015,6,0,0
"195",410982,"Canada","Ontario","Trenton","K8V4B2","Male","Master",132353,"Married","Star",4237.37,"Standard",2017,2,0,0
"196",905213,"Canada","British Columbia","Vancouver","V6E3D9","Female","Master",132353,"Married","Star",4237.37,"Standard",2015,10,0,0
"197",147898,"Canada","Quebec","Tremblant","H5Y2S9","Female","High School or Below",59849,"Divorced","Star",4241.64,"Standard",2012,8,0,0
"198",530105,"Canada","Ontario","London","M5B3E4","Male","College",0,"Single","Star",4242.69,"Standard",2017,11,2018,7
"199",610946,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",56947,"Married","Star",4244.47,"Standard",2016,12,0,0
"200",383108,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",64497,"Married","Star",4247.68,"Standard",2012,6,0,0
"201",836343,"Canada","Ontario","Toronto","P1L8X8","Female","Bachelor",64497,"Married","Star",4247.68,"Standard",2017,4,0,0
"202",110262,"Canada","Alberta","Edmonton","T9G1W3","Male","Bachelor",52267,"Married","Aurora",9427.68,"2018 Promotion",2018,2,0,0
"203",585357,"Canada","Quebec","Quebec City","G1B3L5","Male","College",0,"Single","Star",4250.28,"Standard",2016,10,0,0
"204",784804,"Canada","Alberta","Banff","T4V1D4","Female","College",0,"Single","Star",4250.28,"Standard",2015,8,0,0
"205",719633,"Canada","British Columbia","Victoria","V106T5","Male","Bachelor",52109,"Divorced","Star",4250.78,"Standard",2016,12,0,0
"206",715764,"Canada","Manitoba","Winnipeg","R3R3T4","Male","College",0,"Single","Star",4253.28,"Standard",2016,8,0,0
"207",753473,"Canada","Ontario","Toronto","M2M7K8","Female","Doctor",70996,"Single","Star",4254.62,"Standard",2013,7,0,0
"208",980856,"Canada","Nova Scotia","Halifax","B3J9S2","Male","Doctor",70996,"Single","Star",4254.62,"Standard",2015,2,0,0
