"loyalty_number","total_months","total_years","total_flights","distance","points_accumulated","points_redeemed","dollar_cost_points_redeemed","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month","churned","log_dollar_cost_points_redeemed","log_points_accumulated","log_points_redeemed","log_distance","log_salary","log_clv","sqrt_total_flights"
101664,24,2,29,40987,40987,0,0,"Canada","Nova Scotia","Halifax","B3J9S2","Male","Bachelor",87654,"Married","Aurora",9002.41,"Standard",2013,7,0,0,0,0,10.6210346199196,0,10.6210346199196,11.381163933788,9.10535867344698,1.84423354856758
101709,24,2,38,59596,59596,456,82,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",66733,"Single","Aurora",8396.61,"Standard",2015,9,2018,8,1,4.4188406077966,10.9953605162161,6.1246833908942,10.9953605162161,11.1084698471552,9.0357024205373,1.91404327174953
101768,24,2,1,1733,1733,0,0,"Canada","British Columbia","West Vancouver","V6V8Z3","Male","Bachelor",70267,"Single","Nova",13916.93,"Standard",2018,9,0,0,0,0,7.45818615734049,0,7.45818615734049,11.1600717821333,9.54093321593389,0.832554611157698
101895,24,2,27,47305,47305,0,0,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",81883,"Single","Nova",24543.2,"Standard",2013,2,0,0,0,0,10.7643924163295,0,10.7643924163295,11.3130588905605,10.1082308527648,1.82543269122014
101945,24,2,39,63004,63004,1219,219,"Canada","Nova Scotia","Halifax","B3C2M8","Male","Bachelor",86098,"Married","Star",4202.66,"Standard",2013,11,0,0,0,5.39362754635236,11.0509693673038,7.1066061377273,11.0509693673038,11.3632530759465,8.34371085336945,1.92064558263984
102168,24,2,25,40495,40495,0,0,"Canada","Ontario","Toronto","P5S6R4","Female","Bachelor",75265,"Divorced","Nova",7166.34,"Standard",2018,1,0,0,0,0,10.6089584827849,0,10.6089584827849,11.2287837845944,8.87728987452266,1.80501981651767
102184,24,2,45,69058,69058,0,0,"Canada","Alberta","Peace River","T9O2W2","Male","Bachelor",76887,"Married","Star",4923.18,"Standard",2016,4,0,0,0,0,11.142716490677,0,11.142716490677,11.2501050965031,8.50191304228202,1.95669144130829
102207,24,2,25,37889,37889,0,0,"Canada","Quebec","Montreal","H4G3T4","Male","Bachelor",86413,"Divorced","Nova",6960.92,"Standard",2012,5,0,0,0,0,10.5424425040126,0,10.5424425040126,11.3669049787026,8.84821057735449,1.80501981651767
102311,24,2,51,83581,83581,1396,252,"Canada","Ontario","Toronto","M2Z4K1","Female","Bachelor",76485,"Single","Star",7507.46,"Standard",2016,10,0,0,0,5.53338948872752,11.3335834648853,7.24208235925696,11.3335834648853,11.2448629965309,8.92378566381041,1.98777355817543
102464,24,2,14,17067,17067,761,137,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",60563,"Married","Star",2725.68,"Standard",2016,7,0,0,0,4.9272536851572,9.74496064430789,6.63594655568665,9.74496064430789,11.0114559361283,7.91084003089228,1.64561544751567
102615,24,2,2,4556,4556,0,0,"Canada","Saskatchewan","Regina","S1J3C5","Female","Doctor",51630,"Married","Aurora",7590.05,"Standard",2018,9,0,0,0,0,8.42441979126388,0,8.42441979126388,10.8518775462703,8.93472520074254,1.0481470739682
102726,24,2,21,25020,25020,1426,256,"Canada","Saskatchewan","Regina","S6J3G0","Male","Bachelor",84147,"Married","Nova",8044.87,"Standard",2017,8,0,0,0,5.54907608489522,10.1274707512478,7.26332961747684,10.1274707512478,11.3403324322539,8.99291419528251,1.7581360736184
102730,24,2,27,41890,41890,0,0,"Canada","New Brunswick","Moncton","E1A2A7","Male","High School or Below",80919,"Single","Star",2453.57,"Standard",2017,12,0,0,0,0,10.642826285702,0,10.642826285702,11.3012162912817,7.8057068721381,1.82543269122014
102740,24,2,5,8927,8927,0,0,"Canada","Ontario","Toronto","P1W1K4","Female","Bachelor",100571,"Married","Star",16922.13,"Standard",2018,6,0,0,0,0,9.09694768462109,0,9.09694768462109,11.5186291678869,9.73643660423168,1.33856619904585
102788,11,1,84,135657,203485.5,0,0,"Canada","Quebec","Montreal","H2T2J6","Male","Bachelor",31170,"Single","Nova",11124.21,"2018 Promotion",2018,3,0,0,0,0,12.2233549425979,0,11.8178922916522,10.347243454377,9.31696898326078,2.10775977200684
102851,24,2,39,53975,53975,1247,224,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",60216,"Single","Star",19435.63,"Standard",2014,8,0,0,0,5.41610040220442,10.8962947823073,7.12929754892937,10.8962947823073,11.0057099834584,9.87491470907744,1.92064558263984
102982,24,2,29,34835,34835,0,0,"Canada","British Columbia","Dawson Creek","U5I4F1","Male","Bachelor",84442,"Married","Aurora",5235.57,"Standard",2016,11,0,0,0,0,10.4584066138126,0,10.4584066138126,11.3438320295168,8.56342198283129,1.84423354856758
103043,24,2,43,66356,66356,449,81,"Canada","Ontario","Thunder Bay","K8T5M5","Male","Bachelor",97920,"Married","Star",3351.21,"Standard",2018,12,0,0,0,4.40671924726425,11.1028045353259,6.10924758276437,11.1028045353259,11.4919163101123,8.11737510880427,1.94529936871379
103151,24,2,31,52486,52486,912,164,"Canada","British Columbia","Vancouver","V1E4R6","Female","Bachelor",64962,"Married","Aurora",32613.69,"Standard",2013,5,0,0,0,5.10594547390058,10.8683207988694,6.81673588059497,10.8683207988694,11.0815731560352,10.392518079356,1.86164870552952
103304,24,2,37,62563,62563,947,170,"Canada","Alberta","Banff","T4V1D4","Male","Bachelor",67227,"Married","Star",2683.47,"Standard",2013,10,0,0,0,5.14166355650266,11.0439453117941,6.85435450225502,11.0439453117941,11.1158451063965,7.89523859453477,1.9072456998841
103352,24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",69742,"Married","Aurora",5555.49,"Standard",2014,11,2015,9,1,0,0,0,0,11.1525723362244,8.62272189293003,0
103383,24,2,0,0,0,0,0,"Canada","Ontario","Kingston","M9K2P4","Male","Doctor",65018,"Married","Aurora",13466.92,"Standard",2015,6,2016,2,1,0,0,0,0,11.0824348138565,9.50806584025738,0
103436,24,2,49,86455,86455,902,162,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",67445,"Single","Star",5015.01,"Standard",2013,5,0,0,0,5.09375020080676,11.367390892983,6.80572255341699,11.367390892983,11.1190825566899,8.52039007593118,1.97788346608898
103490,24,2,45,74308,74308,0,0,"Canada","British Columbia","Dawson Creek","U5I4F1","Male","High School or Below",65543,"Single","Nova",17651.96,"Standard",2013,7,0,0,0,0,11.215987353922,0,11.215987353922,11.0904769518217,9.7786587536829,1.95669144130829
103502,24,2,18,30244,30244,344,62,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",66226,"Married","Star",2580.85,"Standard",2017,5,0,0,0,4.14313472639153,10.317086160541,5.84354441703136,10.317086160541,11.1008435137598,7.85626147521865,1.71593676432625
103699,24,2,24,36719,36719,0,0,"Canada","Alberta","Peace River","T9O2W2","Male","Bachelor",86388,"Single","Nova",5595.39,"Standard",2018,1,0,0,0,0,10.5110768447344,0,10.5110768447344,11.3666156318721,8.62987702599455,1.7941225779941
103731,24,2,33,53860,53860,489,88,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Bachelor",90487,"Married","Nova",4015.34,"Standard",2016,1,0,0,0,4.48863636973214,10.8941619328475,6.19440539110467,10.8941619328475,11.4129725242112,8.29812631914258,1.87786062438514
103758,24,2,18,27295,27295,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",103461,"Single","Star",14727.51,"Standard",2018,6,0,0,0,0,10.2144954502914,0,10.2144954502914,11.5469596745131,9.59754035023299,1.71593676432625
103823,24,2,42,57809,57809,1014,183,"Canada","Ontario","Toronto","M1R4K3","Female","High School or Below",52820,"Married","Nova",4812.53,"Standard",2014,10,0,0,0,5.21493575760899,10.9649170500765,6.92264389147589,10.9649170500765,10.8746641178946,8.47918598166977,1.93938137448351
103860,24,2,40,65428,65428,1794,322,"Canada","Ontario","Thunder Bay","K8T5M5","Male","Bachelor",75348,"Married","Nova",3358.53,"Standard",2014,5,0,0,0,5.77765232322266,11.0887208642379,7.49276030092238,11.0887208642379,11.2298859325664,8.11955636222062,1.92706306765095
103862,24,2,37,69191,69191,2686,482,"Canada","Ontario","Kingston","M9K2P4","Female","Doctor",299560,"Married","Star",4878.83,"Standard",2013,7,0,0,0,6.18001665365257,11.1446405279863,7.89618060861549,11.1446405279863,12.6100733485871,8.49286566217483,1.9072456998841
103916,24,2,36,54436,54436,892,160,"Canada","Alberta","Edmonton","T3G6Y6","Female","High School or Below",60894,"Married","Star",3803.92,"Standard",2014,3,0,0,0,5.08140436498446,10.9047993487077,6.7945865808765,10.9047993487077,11.0169063485212,8.24405024510761,1.90024154060588
103969,24,2,33,46744,46744,1131,203,"Canada","Ontario","Ottawa","K1F2R2","Male","Bachelor",52405,"Married","Aurora",31410.93,"Standard",2015,4,0,0,0,5.31811999384422,10.7524625771254,7.03174125876313,10.7524625771254,10.8667763675709,10.3549430360446,1.87786062438514
103970,24,2,45,56234,56234,0,0,"Canada","British Columbia","Dawson Creek","U5I4F1","Female","Doctor",221857,"Married","Aurora",8257.67,"Standard",2015,10,0,0,0,0,10.9372946178381,0,10.9372946178381,12.3097928165581,9.01901883660125,1.95669144130829
103975,24,2,15,18061,18061,1102,198,"Canada","Ontario","Toronto","M2Z4K1","Male","Bachelor",71775,"Married","Star",2411.26,"Standard",2018,8,0,0,0,5.29330482472449,9.80156556281074,7.0057890192535,9.80156556281074,11.1813054373199,7.78831934639921,1.6651092223154
104267,11,1,38,61606,92409,0,0,"Canada","Ontario","Sudbury","M5V1G5","Male","Bachelor",28642,"Married","Star",2701.04,"2018 Promotion",2018,3,0,0,0,0,11.4339904768821,0,11.0285307794291,10.2626643641922,7.90176232225957,1.91404327174953
104353,24,2,42,73980,73980,526,95,"Canada","Saskatchewan","Regina","S1J3C5","Male","Bachelor",104140,"Married","Star",15777.89,"Standard",2014,1,0,0,0,4.56434819146784,11.2115635824619,6.26720054854136,11.2115635824619,11.553501029129,9.66642824972041,1.93938137448351
104431,24,2,43,77644,77644,1771,320,"Canada","Manitoba","Winnipeg","R2C0M5","Female","Doctor",243591,"Married","Nova",2822.59,"Standard",2014,11,0,0,0,5.77144112313002,11.2599024350033,7.47986413116503,11.2599024350033,12.4032499735561,7.94576440393692,1.94529936871379
104541,24,2,34,40283,40283,1472,264,"Canada","Ontario","Toronto","M2Z4K1","Female","Bachelor",64827,"Married","Nova",8621,"Standard",2013,3,0,0,0,5.57972982598622,10.603709646768,7.29505641646263,10.603709646768,11.079492887778,9.06207235530708,1.88556306218843
104586,24,2,40,65640,65640,473,85,"Canada","Ontario","Ottawa","K1F2R2","Male","Bachelor",86609,"Divorced","Aurora",7772.58,"Standard",2016,12,0,0,0,4.45434729625351,11.091955779701,6.16120732169508,11.091955779701,11.3691705613251,8.95848608371138,1.92706306765095
104673,24,2,48,64770,64770,546,98,"Canada","Ontario","Sudbury","M5V1G5","Male","Bachelor",60006,"Married","Aurora",14723.41,"Standard",2012,10,0,0,0,4.59511985013459,11.0786132513043,6.30444880242198,11.0786132513043,11.0022165010659,9.59726193980533,1.97276970224875
104732,24,2,37,54081,54081,403,73,"Canada","British Columbia","Vancouver","V5R1W3","Female","Bachelor",50930,"Married","Nova",8382.48,"Standard",2016,1,0,0,0,4.30406509320417,10.8982566922815,6.00141487796115,10.8982566922815,10.8382270544787,9.03401838173656,1.9072456998841
104739,24,2,0,0,0,0,0,"Canada","Quebec","Montreal","H2T9K8","Female","High School or Below",65565,"Married","Nova",5498.94,"Standard",2013,11,2014,7,1,0,0,0,0,11.0908125478892,8.61249246207015,0
104849,24,2,35,53641,53641,363,65,"Canada","Ontario","Ottawa","K1F2R2","Female","Bachelor",63326,"Married","Nova",2816.76,"Standard",2014,3,0,0,0,4.18965474202643,10.8900876223083,5.89715386763674,10.8900876223083,11.0560670574742,7.94369752204677,1.89301847282485
104960,24,2,32,48555,48555,589,106,"Canada","Newfoundland","St. John's","A1C6H9","Male","Bachelor",90265,"Married","Star",2551.23,"Standard",2012,6,0,0,0,4.67282883446191,10.7904730500177,6.38012253689976,10.7904730500177,11.4105161458005,7.84472276579548,1.86989506696672
105063,11,1,27,40695,61042.5,0,0,"Canada","Quebec","Montreal","H4G3T4","Male","Doctor",236405,"Divorced","Star",7251.33,"2018 Promotion",2018,3,0,0,0,0,11.019342003764,0,10.6138850865026,12.3733059449027,8.8890780755278,1.82543269122014
105074,24,2,46,66078,66078,1567,281,"Canada","Ontario","Toronto","M1R4K3","Male","Bachelor",79727,"Married","Nova",2799.75,"Standard",2014,10,0,0,0,5.64190707093811,11.0986062749084,7.35755620091035,11.0986062749084,11.2863761205212,7.93764251743883,1.96217929907286
105193,24,2,3,6621,6621,0,0,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",92396,"Married","Nova",8838.09,"Standard",2018,6,0,0,0,0,8.79815271810719,0,8.79815271810719,11.4338497895702,9.08693920915641,1.17741002251547
105214,24,2,35,52473,52473,1847,333,"Canada","British Columbia","Whistler","V6T1Y8","Male","Bachelor",88863,"Divorced","Star",5897.99,"Standard",2013,8,0,0,0,5.8111409929767,10.8680730878136,7.52185925220163,10.8680730878136,11.3948623901065,8.68253642879906,1.89301847282485
105251,24,2,10,20733,20733,0,0,"Canada","Ontario","Trenton","K8V4B2","Female","Bachelor",80885,"Married","Star",5074.25,"Standard",2014,10,2017,8,1,0,9.93953014388306,0,9.93953014388306,11.3007960349191,8.53213106378044,1.54851389170339
105335,24,2,36,62882,62882,2193,394,"Canada","British Columbia","West Vancouver","V6V8Z3","Male","Bachelor",53065,"Single","Nova",11611.95,"Standard",2014,10,0,0,0,5.97888576490112,11.0490311358887,7.69348164083518,11.0490311358887,10.8792917008313,9.35987613371681,1.90024154060588
105552,24,2,30,58554,58554,819,148,"Canada","Prince Edward Island","Charlottetown","C1A6E8","Male","Bachelor",77935,"Married","Nova",8256.3,"Standard",2015,11,0,0,0,5.00394630594546,10.9777217624762,6.7093043402583,10.9777217624762,11.2636432560463,9.01885293656593,1.85310204912874
105835,11,1,35,41790,62685,0,0,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",41085,"Married","Star",4756.13,"2018 Promotion",2018,4,0,0,0,0,11.0458934162027,0,10.6404362843253,10.6234227098525,8.46739982420687,1.89301847282485
105841,11,1,73,105928,158892,522,94,"Canada","British Columbia","Whistler","V6T1Y8","Male","Bachelor",55130,"Married","Star",17420.57,"2018 Promotion",2018,3,0,0,0,4.55387689160054,11.975986298691,6.25958146406492,11.5705243373496,10.9174674503635,9.76546437263698,2.07462408479324
105921,24,2,49,70250,70250,1753,315,"Canada","Quebec","Hull","J8Y3Z5","Female","Bachelor",77255,"Married","Star",5041.45,"Standard",2012,9,0,0,0,5.75574221358691,11.1598298219701,7.46965417293213,11.1598298219701,11.2548798616468,8.5256473540628,1.97788346608898
105932,24,2,30,55256,55256,765,138,"Canada","Newfoundland","St. John's","A1C6H9","Male","Bachelor",62977,"Married","Star",3671.82,"Standard",2016,7,0,0,0,4.93447393313069,10.9197503081872,6.64118216974059,10.9197503081872,11.0505407380377,8.20871503835691,1.85310204912874
105992,24,2,42,61310,61310,1647,296,"Canada","Ontario","Kingston","M9K2P4","Female","Bachelor",75700,"Married","Nova",5905.97,"Standard",2016,12,0,0,0,5.6937321388027,11.0237145511766,7.40731771046942,11.0237145511766,11.2345466493779,8.68388828857418,1.93938137448351
106001,24,2,76,119565,119565,2698,485,"Canada","Quebec","Montreal","H2Y4R4","Female","High School or Below",39000,"Single","Star",4914.04,"Standard",2013,1,0,0,0,6.18620862390049,11.6916237991467,7.900636613018,11.6916237991467,10.5713425658087,8.50005517090013,2.0841797959518
106037,24,2,51,68781,68781,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Bachelor",94980,"Married","Nova",11281.52,"Standard",2013,3,0,0,0,0,11.1386973617839,0,11.1386973617839,11.46143215058,9.33100990435636,1.98777355817543
106038,24,2,32,44279,44279,1377,248,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",47889,"Married","Star",7380.09,"Standard",2016,9,0,0,0,5.51745289646471,10.6982883868226,7.2283884515736,10.6982883868226,10.7766619933367,8.90667660316543,1.86989506696672
106046,11,1,48,98729,148093.5,943,169,"Canada","Quebec","Montreal","H2T9K8","Male","Bachelor",16628,"Single","Star",2658.22,"2018 Promotion",2018,4,0,0,0,5.13579843705026,11.9056058624967,6.8501261661455,11.5001441306055,9.71890343808791,7.88578812569181,1.97276970224875
106048,24,2,3,2103,2103,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Doctor",70755,"Divorced","Star",11315.2,"Standard",2018,11,0,0,0,0,7.6515955738576,0,7.6515955738576,11.1669926175634,9.33399060635506,1.17741002251547
106218,24,2,38,53572,53572,1209,218,"Canada","Ontario","Toronto","P1W1K4","Male","Master",111106,"Married","Nova",16473.17,"Standard",2014,1,0,0,0,5.3890717298165,10.8888004888004,7.09837563859079,10.8888004888004,11.6182489799435,9.70954897873895,1.91404327174953
106477,24,2,23,29743,29743,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Bachelor",52935,"Divorced","Star",2487.26,"Standard",2014,2,0,0,0,0,10.3003827099612,0,10.3003827099612,10.8768389156919,7.81933895000687,1.78270968762386
106509,24,2,10,13811,13811,0,0,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",54529,"Married","Nova",16727.77,"Standard",2017,4,2018,10,1,0,9.53329305850988,0,9.53329305850988,10.9065062879201,9.72488527065646,1.54851389170339
106589,24,2,0,0,0,0,0,"Canada","British Columbia","Vancouver","V5R1W3","Male","High School or Below",71630,"Married","Star",11638.9,"Standard",2013,8,2013,9,1,0,0,0,0,11.1792832201421,9.36219413018323,0
106592,24,2,47,76347,76347,1003,181,"Canada","Alberta","Banff","T4V1D4","Male","Doctor",298661,"Married","Nova",11727.78,"Standard",2016,6,0,0,0,5.2040066870768,11.2430571151498,6.91174730025167,11.2430571151498,12.6070677781669,9.36980092941832,1.96753678768858
106616,24,2,6,9406,9406,0,0,"Canada","Quebec","Montreal","H2T2J6","Male","Bachelor",53879,"Married","Star",2560.69,"Standard",2018,7,0,0,0,0,9.14920937197195,0,9.14920937197195,10.8945146305243,7.84842247591632,1.39495883417946
106623,24,2,4,2092,2092,0,0,"Canada","British Columbia","Victoria","V106T5","Male","Bachelor",77314,"Married","Nova",10827.87,"Standard",2018,9,0,0,0,0,7.646353722446,0,7.646353722446,11.2556432649095,9.2899709947544,1.26863624117952
106637,24,2,32,48721,48721,1770,319,"Canada","Quebec","Quebec City","G1B3L5","Male","Bachelor",86121,"Married","Star",7455.36,"Standard",2014,4,0,0,0,5.76832099579377,10.7938859524443,7.47929963778283,10.7938859524443,11.3635201746178,8.91682263846163,1.86989506696672
106689,24,2,23,34355,34355,1690,304,"Canada","Ontario","Toronto","P1W1K4","Female","Bachelor",61554,"Married","Nova",2795.41,"Standard",2017,6,0,0,0,5.72031177660741,10.4445319548861,7.43307534889858,10.4445319548861,11.0276863630817,7.93609173065776,1.78270968762386
106754,24,2,31,33368,33368,1167,210,"Canada","Ontario","London","M5B3E4","Female","Bachelor",49158,"Married","Star",31864.86,"Standard",2012,7,0,0,0,5.35185813347607,10.4153826042601,7.06304816338817,10.4153826042601,10.8028152217318,10.3692904962435,1.86164870552952
